Total saturated fatty acids,Total monounsaturated fatty acids,Total polyunsaturated fatty acids,Energy,Protein,Carbohydrate,Sugars,Dietary Fiber,Total Fat,food type
1.521,3.466,1.22,154,1.19,23.63,8.49,0.5,6.53,3
2.167,0.856,0.148,34,0.27,0.86,0.86,0,3.39,3
0,0,0,5,1.16,0,0,0,0,1
0,0,0,61,0.06,16.48,16.42,0,0,1
0.628,0.547,1.348,191,9.62,31.21,4.6,5.3,3.05,5
10.96,16.523,33.015,795,47.35,9.51,7.11,1.4,63.61,5
2.897,1.999,1.027,182,1.42,30.54,19.29,0.2,6.27,3
6.216,1.134,2.142,211,1.72,28.91,14.2,0.8,9.87,3
1.449,0.999,0.513,91,0.71,15.27,9.64,0.1,3.14,3
3.108,0.567,1.071,106,0.86,14.45,7.1,0.4,4.94,3
1.316,0.788,1.031,138,3.69,22.22,1.67,1.6,3.6,5
3.839,5.942,1.85,248,32.46,0,0,0,12.32,5
0.002,0,0.006,1,0.09,0.23,0.11,0.1,0.01,5
5.565,2.918,1.065,283,5.37,44.01,5.32,2.9,10.14,9
38.351,15.694,2.272,535,0.64,0.05,0.05,0,60.56,9
0.001,0,0.001,1,0.01,0.18,0.07,0,0.01,9
0.401,0.839,0.511,166,5.44,30.91,2.46,3.7,2.11,5
0.738,0.852,0.151,64,10.43,0.36,0.16,0,2.07,5
1.317,2.094,4.667,80,0.17,1.61,1.44,0.2,8.14,5
2.716,1.188,0.208,64,3.38,1.86,1.31,0,4.84,5
0.002,0,0.006,1,0.09,0.23,0.11,0.1,0.01,5
0,0,0,5,0.01,2.1,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0.745,2.521,2.153,163,4.05,23.87,0.31,3.7,5.7,3
1.093,3.849,2.63,117,3.68,8.94,1.31,2.7,8,3
5.093,2.227,0.339,155,2.63,17.7,15.92,0.5,8.25,8
0,0,0,43,0.24,11.4,11.4,0,0,8
0.106,0.013,0.281,47,1.78,10.85,7.56,3.8,0.54,9
4.091,5.406,15.155,253,0.78,3.47,2.76,0,26.17,9
2.285,1.733,0.618,124,2.86,16.96,0.56,0.8,4.95,6
0,0,0.001,0,0,0,0,0,0,6
5.49,2.646,0.447,190,2.89,24.03,19.95,0.8,9.26,8
0.972,0.377,0.072,28,0.4,3.12,2.7,0.2,1.56,8
1.346,2.926,2.603,134,1.74,15.37,0.15,1.3,7.31,9
1.023,1.352,3.789,63,0.19,0.87,0.69,0,6.54,9
2.743,2.622,1.787,185,11.12,16.94,3.17,1.8,8.31,11
4.526,1.979,0.347,107,5.63,3.1,2.18,0,8.07,11
0.248,0.298,0.725,63,1.42,11.11,0.19,0.4,1.3,3
0.269,0.677,0.328,16,0.6,0.6,0.28,0.1,1.36,3
0.367,0.565,1.212,97,1.51,17.47,5.59,0.8,2.39,3
0.539,1.355,0.656,32,1.2,1.19,0.56,0.3,2.73,3
0.335,0.197,0.497,274,2.94,66.29,26.33,1.6,1.25,2
5.484,2.029,0.318,177,9.67,13.77,14.18,0,9.44,2
2.808,0.156,0.078,310,3.74,66.85,27.92,1.2,3.2,2
0.251,1.841,0.748,97,1.25,17.06,15.52,0.6,3.04,2
2.106,0.117,0.059,232,2.81,50.14,20.94,0.9,2.4,2
0.188,1.381,0.561,73,0.94,12.79,11.64,0.5,2.28,2
0.169,0.153,0.407,80,2.94,14.91,1.45,0.7,0.85,3
1.652,4.151,2.006,96,3.55,3.57,1.68,0.8,8.22,3
0.229,0.27,0.616,251,5.89,61.1,25.48,10.6,1.24,2
0.105,0.036,0.013,73,7.32,10.44,10.78,0,0.17,2
3.724,8.558,5.058,353,12.86,36.66,6.56,2.9,18.51,5
0.007,0.013,0.02,106,0,27.84,16.8,0,0.04,5
0.026,0.003,0.047,71,0.2,17.59,16.57,0.2,0.17,1
0.015,0.032,0.101,92,0,23.05,20.24,0,0.17,1
0.007,0.004,0.014,4,0,1.08,0,0,0,1
1.016,0.366,0.053,46,3.07,4.49,4.47,0,1.74,1
0,0,0,16,0,4.15,4.16,0,0.01,1
0.005,0.013,0.047,10,0.2,2.3,1.47,0.6,0.09,10
0.016,0.001,0.025,11,0.25,2.53,2.44,0.2,0.06,10
0.012,0.001,0.018,11,0.17,2.82,2.52,0.2,0.04,10
0.003,0.004,0.013,17,0.18,4.33,3.25,0.5,0.04,10
0.016,0.002,0.014,21,0.22,5.43,4.64,0.3,0.05,10
0.002,0.006,0.023,5,0.1,1.15,0.73,0.3,0.05,10
0.008,0,0.013,5,0.13,1.27,1.22,0.1,0.03,10
0.006,0,0.009,6,0.08,1.41,1.26,0.1,0.02,10
0.001,0.002,0.007,8,0.09,2.17,1.63,0.2,0.02,10
0.008,0.001,0.007,10,0.11,2.72,2.32,0.1,0.02,10
3.404,1.259,0.198,110,6,8.55,8.8,0,5.86,1
0.004,0.027,0.002,2,0.22,0,0,0,0.04,1
0.007,0.054,0.004,4,0.43,0,0,0,0.07,1
0.291,1.133,0.004,20,0.15,1.71,1.71,0,1.5,1
0,0,0,48,0,12.45,12.48,0,0.04,1
3.71,1.977,1.245,146,13.27,4.22,2.53,0.6,8.19,6
0.397,0.477,1.16,100,2.27,17.77,0.31,0.7,2.07,6
6.646,3.149,0.624,231,4.67,26.11,6.42,1.5,11.97,3
